ゼア　コルネリア,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/e799e0ac78434b16b007faa55b33cd73/liver-face_ZEA_Cornelia.png.webp?w=200&fm=webp
タカ　ラジマン,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/7039c11e2ddb4760b07a055756eb7177/liver-face_Taka_Radjiman.png.webp?w=200&fm=webp
ハナ　マキア,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/ec9fd692a58c43e0adaed8e800709d32/liver-face_Hana_Macchia.png.webp?w=200&fm=webp
アミシア　ミシェラ,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/c895e26832a64fdd9316d42fe86092f3/liver-face_Amicia_Michella.png.webp?w=200&fm=webp
ライ　ガリレイ,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/f8223e6b3b4441bb81ecaf85512b33ca/liver-face_Rai_Galilei.png.webp?w=200&fm=webp
リクサ　ディレンドラ,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/6cc1cef8af93491b9964d8482a09d51f/liver-face_Riksa_Dhirendra.png.webp?w=200&fm=webp
アズラ　セシリア,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/871c5c3f3ba341cab0a918081f361923/liver-face_Azura_Cecillia.png.webp?w=200&fm=webp
ナラ　ハラマウン,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/f5411415bca94451ba6b44ea43db34dc/liver-face_Nara_Haramaung.png?w=200&fm=webp
ライラ　アルストロメリア,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/6aacb7c7f40c4d558b3384a026f55402/liver-face_Layla_Alstroemeria.png.webp?w=200&fm=webp
エトナ　クリムソン,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/4e21d893925f4f92a2730c28c71b49dd/liver-face_Etna_Crimson.png.webp?w=200&fm=webp
シスカ　レオンタイン,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/7f5380dc282646f4bbd728335281f9fd/liver-face_Siska_Leontyne.png.webp?w=200&fm=webp
ボンニフィエール　プラジャナ,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/73f0f0583ea2448c993fe1681032ac81/liver-face_Bonnivier_Pranaja.png.webp?w=200&fm=webp
デレム　カド,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/dd96bf7da87140e0933208d93a664cec/liver-face_Derem_Kado.png?w=200&fm=webp
ナギサ　アルシニア,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/3cf844c4212f463fa512c1c6c27a02fd/liver-face_Nagisa_Arcinia.png.webp?w=200&fm=webp
レザ　アファンルナ,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/42a9f63983a4451d86afadef7d814866/liver-face_Reza_Avanluna.png.webp?w=200&fm=webp
シア　エカフィラ,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/60c94c83290249c784361d99a955ccc4/liver-face_Xia_Ekavira.png.webp?w=200&fm=webp
ヒョナ　エラティオラ,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/d29a24f9c203445fa8f9d73da4bda1bc/liver-face_Hyona_Elatiora.png.webp?w=200&fm=webp
ミカ　メラティカ,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/b07df69d69774c5e9917bdf27b6927a2/liver-face_Mika_Melatika.png.webp?w=200&fm=webp
